Entity,Code,Year, Total population
Oman,OMN,2019, 4.975.000 
Pakistan,PAK,2019, 216.564.992 
Palau,PLW,2019, 18.000 
Palestine,PSE,2019, 4.981.000 
Panama,PAN,2019, 4.246.000 
Papua New Guinea,PNG,2019, 8.776.000 
Paraguay,PRY,2019, 7.045.000 
Peru,PER,2019, 32.510.000 
Philippines,PHL,2019, 108.117.000 
Poland,POL,2019, 37.888.000 
Portugal,PRT,2019, 10.226.000 
Puerto Rico,PRI,2019, 2.933.000 
Qatar,QAT,2019, 2.832.000 
Reunion,REU,2019, 889.000 
Romania,ROU,2019, 19.365.000 
Russia,RUS,2019, 145.872.000 
Rwanda,RWA,2019, 12.627.000 
Saint Helena,SHN,2019, 6.000 
Saint Kitts and Nevis,KNA,2019, 53.000 
Saint Lucia,LCA,2019, 183.000 
Saint Martin (French part),MAF,2019, 38.000 
Saint Pierre and Miquelon,SPM,2019, 6.000 
Saint Vincent and the Grenadines,VCT,2019, 111.000 
Samoa,WSM,2019, 197.000 
San Marino,SMR,2019, 34.000 
Sao Tome and Principe,STP,2019, 215.000 
Saudi Arabia,SAU,2019, 34.269.000 
Senegal,SEN,2019, 16.296.000 
Serbia,SRB,2019, 8.772.000 
Seychelles,SYC,2019, 98.000 
Sierra Leone,SLE,2019, 7.813.000 
Singapore,SGP,2019, 5.804.000 
Sint Maarten (Dutch part),SXM,2019, 42.000 
Slovakia,SVK,2019, 5.457.000 
Slovenia,SVN,2019, 2.079.000 
Solomon Islands,SLB,2019, 670.000 
Somalia,SOM,2019, 15.443.000 
South Africa,ZAF,2019, 58.558.000 
South Korea,KOR,2019, 51.225.000 
South Sudan,SSD,2019, 11.062.000 
Spain,ESP,2019, 46.737.000 
Sri Lanka,LKA,2019, 21.324.000 
Sudan,SDN,2019, 42.813.000 
Suriname,SUR,2019, 581.000 
Sweden,SWE,2019, 10.036.000 
Switzerland,CHE,2019, 8.591.000 
Syria,SYR,2019, 17.070.000 
Taiwan,TWN,2019, 23.774.000 
Tajikistan,TJK,2019, 9.321.000 
Tanzania,TZA,2019, 58.005.000 
Thailand,THA,2019, 69.626.000 
Timor,TLS,2019, 1.293.000 
Togo,TGO,2019, 8.082.000 
Tokelau,TKL,2019, 1.000 
Tonga,TON,2019, 104.000 
Trinidad and Tobago,TTO,2019, 1.395.000 
Tunisia,TUN,2019, 11.695.000 
Turkey,TUR,2019, 83.430.000 
Turkmenistan,TKM,2019, 5.942.000 
Turks and Caicos Islands,TCA,2019, 38.000 
Tuvalu,TUV,2019, 12.000 
Uganda,UGA,2019, 44.270.000 
Ukraine,UKR,2019, 43.994.000 
United Arab Emirates,ARE,2019, 9.771.000 
United Kingdom,UK,2019, 67.530.000 
United States,USA,2019, 329.064.992 
United States Virgin Islands,VIR,2019, 105.000 
Uruguay,URY,2019, 3.462.000 
Uzbekistan,UZB,2019, 32.982.000 
Vanuatu,VUT,2019, 300.000 
Vatican,VAT,2019, 1.000 
Venezuela,VEN,2019, 28.516.000 
Vietnam,VNM,2019, 96.462.000 
Wallis and Futuna,WLF,2019, 11.000 
Western Sahara,ESH,2019, 582.000 
Yemen,YEM,2019, 29.162.000 
Zambia,ZMB,2019, 17.861.000 
Zimbabwe,ZWE,2019, 14.645.000 
